cabang,sku,dataset_label,n_train,zero_ratio,zero_bucket,qty_median,scale_bucket,qty_mean,qty_std,qty_max,spike_ratio,adf_level_p,adf_diff1_p,acf_lag1,acf_lag2,acf_lag3,acf_lag6,acf_lag12,seasonal_flag,sarimax_d_sug,sarimax_D_sug,sarimax_family,lgbm_size_bucket,lgbm_max_depth_sug,lgbm_num_leaves_sug,lgbm_min_data_in_leaf_sug,tft_use,tft_encoder_length_sug,tft_hidden_size_sug
14A,BUVW100C192,selected15,41,0.0,dense,960.0,high,1152.2926829268292,662.4580833495218,3876.0,0.07317073170731707,0.0006929169310023582,2.597906268611461e-13,0.08239338994701428,0.05429707016485966,-0.06905433252809447,-0.09370129750158432,0.5781774684699416,1,0,1,MA_or_low_AR,small,6,16,10,1,24,32
14A,BUVW100CSB,selected15,41,0.0,dense,2412.0,high,2496.5853658536585,658.3394631802713,4008.0,0.0,0.04981768134935215,0.0002881289932303158,-0.07717359192802362,0.3871283387664126,0.12443501736950811,-0.02576799698988216,0.14022372245850198,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
14A,BUVW100CSW,selected15,41,0.0,dense,1836.0,high,1949.8536585365853,733.4008985873828,4308.0,0.024390243902439025,2.3091466282290674e-07,3.4535752307977363e-09,0.03128940189271626,0.1722578345111149,0.09768320513944534,-0.11830000499286067,0.4232187571344356,1,0,1,MA_or_low_AR,small,6,16,10,1,24,32
14A,BUVW200CSB,selected15,41,0.0,dense,1392.0,high,1395.8048780487804,457.52460149767876,2472.0,0.0,0.09174784043696982,1.5347314672061218e-10,-0.0442777465775146,0.45494284704485155,-0.0198032425261422,-0.04096721075028548,0.07222648808835061,0,1,0,MA_or_low_AR,small,6,16,10,1,24,32
14A,BUVW200CSW,selected15,41,0.0,dense,1368.0,high,1428.2926829268292,544.4449579113777,3132.0,0.024390243902439025,9.656255893097001e-08,2.8514782043961584e-10,0.005612425378301157,0.24471798354675178,-0.011998014504801912,-0.23074546278988972,0.3279636136272699,1,0,1,MA_or_low_AR,small,6,16,10,1,24,32
14A,DOPQ001K002,selected15,41,0.0,dense,1364.0,high,1453.4146341463415,674.4455120915906,3289.0,0.0,0.002457193355251039,4.747944791565942e-05,0.23217762192213062,0.16339588507032976,-0.07112590453990611,-0.2790738730270512,0.34534761889511745,1,0,1,mixed,small,6,16,10,1,24,32
14A,DOPQ001K007,selected15,41,0.0,dense,891.0,high,955.5853658536586,362.00165577036773,1840.0,0.0,0.05902432952734136,0.0014015844994859311,-0.0385017178851263,0.21182581968780886,-0.02486324768778326,-0.19429706678602843,0.199577785848447,0,1,0,MA_or_low_AR,small,6,16,10,1,24,32
14A,DOPQ001K009,selected15,41,0.0,dense,1560.0,high,1620.7073170731708,663.6097966388999,3395.0,0.04878048780487805,3.920944074887432e-09,3.5391837233927415e-06,-0.08842710956335284,0.14158357852244177,-0.0488482380341657,0.0007765445945814534,0.210253029145674,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
14A,DOPQ001K010,selected15,41,0.0,dense,1174.0,high,1282.1707317073171,548.7724893997067,3040.0,0.024390243902439025,0.016989835046698504,0.0025304355745405884,0.10563382055902876,0.12264907116288533,-0.024603690618137792,-0.28626177827308424,0.2684519919162906,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
14A,DOPQ004K009,selected15,41,0.0,dense,967.0,high,1025.6341463414635,486.8213612865381,2414.0,0.0,1.1217642844747687e-10,1.0736528296187047e-06,-0.1757790572650327,0.06335034107611896,-0.09527550122322624,0.16760099570359618,0.28050796007029044,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
14A,FIJK250C,selected15,41,0.0,dense,720.0,high,752.390243902439,219.86733250403304,1636.0,0.024390243902439025,5.223545268659684e-14,0.03416837422747053,-0.3233609804370867,0.16329872825140712,0.12435207442077008,-0.21566182678498866,-0.07972849807257618,0,0,0,mixed,small,6,16,10,1,24,32
16C,ATUV005KSW,selected15,41,0.0,dense,1484.0,high,1511.1463414634147,807.9779254712225,3456.0,0.0,0.6908369267445742,1.507517912687582e-08,-0.3335663465192363,0.24891845912367036,-0.07103793821886638,-0.14574121553579825,0.12584045384946804,0,1,0,mixed,small,6,16,10,1,24,32
16C,BKLM001KHAR,selected15,41,0.0,dense,1104.0,high,2545.0243902439024,3317.829000173192,16239.0,0.0975609756097561,0.5344792816420992,9.283018571411602e-11,-0.24522327351182355,0.07339428951653629,-0.046686760088742604,0.13777188614827443,-0.0500738596481868,0,1,0,mixed,small,6,16,10,1,24,32
16C,BKLM001KPOX,selected15,41,0.0,dense,1104.0,high,2545.0243902439024,3317.829000173192,16239.0,0.0975609756097561,0.5344792816420992,9.283018571411602e-11,-0.24522327351182355,0.07339428951653629,-0.046686760088742604,0.13777188614827443,-0.0500738596481868,0,1,0,mixed,small,6,16,10,1,24,32
16C,BKLM200CHAR,selected15,41,0.0,dense,2237.0,high,3987.0243902439024,4810.97044517946,23420.0,0.0975609756097561,2.9895608114072945e-12,1.8177079125033673e-08,-0.25067783874851723,0.045787143470541455,-0.0049086340403565396,0.1487282604339709,-0.03582361541741968,0,0,0,mixed,small,6,16,10,1,24,32
16C,BKLM200CPOX,selected15,41,0.0,dense,2237.0,high,3987.0243902439024,4810.97044517946,23420.0,0.0975609756097561,2.9895608114072945e-12,1.8177079125033673e-08,-0.25067783874851723,0.045787143470541455,-0.0049086340403565396,0.1487282604339709,-0.03582361541741968,0,0,0,mixed,small,6,16,10,1,24,32
16C,BNOP400CPOX,selected15,41,0.0,dense,1094.0,high,1621.0975609756097,1477.4732621079484,6414.0,0.0975609756097561,5.632128116220166e-13,3.214003087726504e-12,-0.28122729828018,-0.11143884879069937,-0.005038227870102264,0.022252441525248856,0.01661689751879448,0,0,0,mixed,small,6,16,10,1,24,32
