cabang,sku,feature,corr
16C,CFGH001K711,rainfall_lag1,-0.02953634713804046
16C,CKLM001KS600,event_flag,0.604382386552651
16C,CKLM001KS600,event_flag_lag1,-0.31555478195599534
16C,CKLM001KS600,holiday_count,-0.2092120688734359
16C,CKLM001KS600,holiday_count_lag1,-0.14775311783198894
16C,CKLM001KS600,rainfall_lag1,0.29700170598365633
16C,DOPQ001K002,event_flag,0.5150822152009842
16C,DOPQ001K002,event_flag_lag1,-0.2865201508439088
16C,DOPQ001K002,holiday_count,-0.06715175537690363
16C,DOPQ001K002,holiday_count_lag1,0.0594335000472974
16C,DOPQ001K002,rainfall_lag1,0.16115715594262017
16C,DOPQ001K009,event_flag,0.4942061345969538
16C,DOPQ001K009,event_flag_lag1,-0.24047138739834725
16C,DOPQ001K009,holiday_count,-0.11389911261303154
16C,DOPQ001K009,holiday_count_lag1,0.03993824161731502
16C,DOPQ001K009,rainfall_lag1,0.02763754162043811
16C,DOPQ004K002,event_flag,0.5593459176705382
16C,DOPQ004K002,event_flag_lag1,-0.307261444774769
16C,DOPQ004K002,holiday_count,-0.11696943057532404
16C,DOPQ004K002,holiday_count_lag1,0.06293221824451851
16C,DOPQ004K002,rainfall_lag1,0.07510749036478064
16C,EVWX200CHAR,event_flag,0.519746363795456
16C,EVWX200CHAR,event_flag_lag1,-0.32660258893778005
16C,EVWX200CHAR,holiday_count,-0.10341987795860276
16C,EVWX200CHAR,holiday_count_lag1,0.28590712286907666
16C,EVWX200CHAR,rainfall_lag1,0.034774347502524
16C,FIJK250C,event_flag,0.5038102121568799
16C,FIJK250C,event_flag_lag1,-0.2917326399686359
16C,FIJK250C,holiday_count,-0.07545913306068519
16C,FIJK250C,holiday_count_lag1,0.223888668545938
16C,FIJK250C,rainfall_lag1,-0.010159626430175234
17A,BKLM200CHAR,event_flag,0.27526711643793794
17A,BKLM200CHAR,event_flag_lag1,-0.4144057718613476
17A,BKLM200CHAR,holiday_count,-0.16554335567171502
17A,BKLM200CHAR,holiday_count_lag1,-0.01793117831271862
17A,BKLM200CHAR,rainfall_lag1,
17A,BUVW001KSW,event_flag,0.5214376506446303
17A,BUVW001KSW,event_flag_lag1,-0.20298707235203967
17A,BUVW001KSW,holiday_count,-0.18498731261743212
17A,BUVW001KSW,holiday_count_lag1,0.1284213110741628
17A,BUVW001KSW,rainfall_lag1,
17A,DOPQ001K002,event_flag,0.11959023773717672
17A,DOPQ001K002,event_flag_lag1,-0.28366360292292425
17A,DOPQ001K002,holiday_count,-0.037581030536451565
17A,DOPQ001K002,holiday_count_lag1,-0.15597882908813263
17A,DOPQ001K002,rainfall_lag1,
17A,DOPQ001K003,event_flag,0.13569805430575646
17A,DOPQ001K003,event_flag_lag1,-0.28539420968698476
17A,DOPQ001K003,holiday_count,0.0074691300740991765
17A,DOPQ001K003,holiday_count_lag1,-0.06666803620233996
17A,DOPQ001K003,rainfall_lag1,
17A,DOPQ001K009,event_flag,0.2548180783542351
17A,DOPQ001K009,event_flag_lag1,-0.3089926001727088
17A,DOPQ001K009,holiday_count,-0.03264226413277454
17A,DOPQ001K009,holiday_count_lag1,-0.028380351901823125
17A,DOPQ001K009,rainfall_lag1,
17A,DOPQ001K010,event_flag,0.1923889837258483
17A,DOPQ001K010,event_flag_lag1,-0.25749641808559637
17A,DOPQ001K010,holiday_count,0.0012834792508122092
17A,DOPQ001K010,holiday_count_lag1,-0.10143972699846525
17A,DOPQ001K010,rainfall_lag1,
17A,DOPQ004K002,event_flag,0.3308036266667558
17A,DOPQ004K002,event_flag_lag1,-0.3636675317935943
17A,DOPQ004K002,holiday_count,0.00522430386130514
17A,DOPQ004K002,holiday_count_lag1,-0.07338123182825132
17A,DOPQ004K002,rainfall_lag1,
17A,DOPQ004K003,event_flag,0.37769127188193313
17A,DOPQ004K003,event_flag_lag1,-0.3733379568736295
17A,DOPQ004K003,holiday_count,-0.10823525944992002
17A,DOPQ004K003,holiday_count_lag1,-0.06556701810313188
17A,DOPQ004K003,rainfall_lag1,
17A,DOPQ004K009,event_flag,0.42298045096601267
17A,DOPQ004K009,event_flag_lag1,-0.3589505708852024
17A,DOPQ004K009,holiday_count,0.055143337741317154
17A,DOPQ004K009,holiday_count_lag1,0.017552425911259578
17A,DOPQ004K009,rainfall_lag1,
17A,DOPQ004K010,event_flag,0.34763834811592126
17A,DOPQ004K010,event_flag_lag1,-0.3282726506667389
17A,DOPQ004K010,holiday_count,0.0003916288678776844
17A,DOPQ004K010,holiday_count_lag1,-0.047362111216918246
17A,DOPQ004K010,rainfall_lag1,
23A,AUVW001KA,event_flag,0.14240691567212738
23A,AUVW001KA,event_flag_lag1,-0.3045146210973901
23A,AUVW001KA,holiday_count,-0.21313374619130804
23A,AUVW001KA,holiday_count_lag1,0.11829336037890253
23A,AUVW001KA,rainfall_lag1,
23A,AUVW001KASP,event_flag,0.12807729139663196
23A,AUVW001KASP,event_flag_lag1,-0.1606633928659247
23A,AUVW001KASP,holiday_count,-0.13736048117472327
23A,AUVW001KASP,holiday_count_lag1,0.09902730260619351
23A,AUVW001KASP,rainfall_lag1,
23A,BKLM200CHAR,event_flag,0.2581888876673064
23A,BKLM200CHAR,event_flag_lag1,-0.3601676411961868
23A,BKLM200CHAR,holiday_count,-0.27011062291138344
23A,BKLM200CHAR,holiday_count_lag1,0.22687237450538855
23A,BKLM200CHAR,rainfall_lag1,
23A,BKLM200CPOX,event_flag,0.2581888876673064
23A,BKLM200CPOX,event_flag_lag1,-0.3601676411961868
23A,BKLM200CPOX,holiday_count,-0.27011062291138344
23A,BKLM200CPOX,holiday_count_lag1,0.22687237450538855
23A,BKLM200CPOX,rainfall_lag1,
23A,BNOP400CHAR,event_flag,0.28083023102101007
23A,BNOP400CHAR,event_flag_lag1,-0.11173117765005137
23A,BNOP400CHAR,holiday_count,-0.35501579136419015
23A,BNOP400CHAR,holiday_count_lag1,0.14260011908533085
23A,BNOP400CHAR,rainfall_lag1,
23A,BNOP400CPOX,event_flag,0.28083023102101007
