cabang,sku,n_train,n_zero,zero_ratio,imputed_ratio,spike_ratio,qty_mean,qty_median,qty_std,qty_min,qty_max,scale_bucket,zero_bucket
13I,BBCD025KP712,41.0,15.0,0.36585365853658536,0.36585365853658536,0.07317073170731707,1.8048780487804879,1.0,2.100232275191508,0.0,8.0,low,semi_sparse
13I,BBCD025KP750,41.0,18.0,0.43902439024390244,0.43902439024390244,0.07317073170731707,1.3902439024390243,1.0,2.072173361238,0.0,10.0,low,semi_sparse
13I,BBCD025KP752,41.0,6.0,0.14634146341463414,0.14634146341463414,0.0,3.951219512195122,4.0,2.729021981518243,0.0,10.0,low,dense
13I,BBCD025KP755,41.0,5.0,0.12195121951219512,0.12195121951219512,0.024390243902439025,3.4634146341463414,3.0,3.0008128979962225,0.0,15.0,low,dense
13I,BBCD025KP765,41.0,6.0,0.14634146341463414,0.14634146341463414,0.04878048780487805,3.3902439024390243,2.0,4.06741962907989,0.0,23.0,low,dense
13I,BBCD025KP770,41.0,0.0,0.0,0.0,0.04878048780487805,7.170731707317073,6.0,5.752835992032061,1.0,25.0,medium,dense
13I,BBCD025KP771,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,4.804878048780488,4.0,3.108210998268312,0.0,14.0,low,dense
13I,BBCD025KP816,41.0,9.0,0.21951219512195122,0.21951219512195122,0.0,2.731707317073171,2.0,2.449738662019915,0.0,8.0,low,semi_sparse
13I,BBCD025KP818,39.0,18.0,0.46153846153846156,0.46153846153846156,0.02564102564102564,0.8205128205128205,1.0,0.9966204702259601,0.0,4.0,low,semi_sparse
13I,BBCD025KP831,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,7.853658536585366,6.0,6.251243778680192,0.0,29.0,medium,dense
13I,BBCD025KP892,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0,7.2439024390243905,6.0,4.317293641883061,0.0,18.0,medium,dense
13I,BBCD025KP893,41.0,2.0,0.04878048780487805,0.04878048780487805,0.024390243902439025,6.2439024390243905,6.0,4.641015448179838,0.0,21.0,medium,dense
13I,BBCD025KP900,40.0,4.0,0.1,0.1,0.025,6.15,5.5,4.532220828801885,0.0,21.0,medium,dense
13I,BBCD025KPA1501,41.0,28.0,0.6829268292682927,0.6829268292682927,0.0,0.9024390243902439,0.0,1.479947263397931,0.0,5.0,low,sparse
13I,BBCD025KPA44505,41.0,26.0,0.6341463414634146,0.6341463414634146,0.04878048780487805,0.7804878048780488,0.0,1.4406976629735888,0.0,6.0,low,sparse
13I,BBCD025KPAT1,41.0,4.0,0.0975609756097561,0.0975609756097561,0.024390243902439025,3.4146341463414633,3.0,2.5394449172614237,0.0,11.0,low,dense
13I,BBCD025KPAT5,41.0,8.0,0.1951219512195122,0.1951219512195122,0.12195121951219512,3.073170731707317,2.0,3.9647840035898487,0.0,20.0,low,dense
13I,BBCD025KPBA,41.0,0.0,0.0,0.0,0.0975609756097561,190.85365853658536,151.0,136.95082346879292,34.0,657.0,high,dense
13I,BBCD025KPBB,41.0,0.0,0.0,0.0,0.04878048780487805,37.36585365853659,29.0,20.95919380315113,13.0,117.0,medium,dense
13I,BBCD025KPBC,41.0,0.0,0.0,0.0,0.024390243902439025,13.512195121951219,11.0,8.099759105120077,1.0,34.0,medium,dense
13I,BBCD025KPMW,41.0,0.0,0.0,0.0,0.0,8.390243902439025,6.0,5.5266538193580015,1.0,24.0,medium,dense
13I,BBCD025KPSW,41.0,0.0,0.0,0.0,0.0975609756097561,459.780487804878,412.0,196.68267745217446,131.0,966.0,high,dense
13I,BCDE005K670,41.0,23.0,0.5609756097560976,0.5609756097560976,0.0,2.048780487804878,0.0,2.906468815523359,0.0,9.0,low,sparse
13I,BCDE005KBA,41.0,1.0,0.024390243902439025,0.024390243902439025,0.04878048780487805,90.60975609756098,82.0,60.71897481380119,0.0,298.0,high,dense
13I,BCDE005KBB,41.0,0.0,0.0,0.0,0.0975609756097561,64.58536585365853,55.0,41.27770318813542,12.0,185.0,high,dense
13I,BCDE005KBC,41.0,0.0,0.0,0.0,0.0,60.21951219512195,56.0,30.309661986833465,14.0,140.0,high,dense
13I,BCDE005KSW,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,35.34146341463415,28.0,28.555743516933298,0.0,118.0,medium,dense
13I,BCDE025KPBA,41.0,0.0,0.0,0.0,0.07317073170731707,16.097560975609756,12.0,11.661485492956677,2.0,53.0,medium,dense
13I,BCDE025KPBB,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,8.24390243902439,7.0,7.428931577975658,0.0,32.0,medium,dense
13I,BCDE025KPBC,41.0,1.0,0.024390243902439025,0.024390243902439025,0.07317073170731707,6.463414634146342,4.0,6.309110717746241,0.0,27.0,low,dense
13I,BCDE025KPSW,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,15.609756097560975,13.0,11.693754847739214,0.0,60.0,medium,dense
13I,BGHI001K007,41.0,11.0,0.2682926829268293,0.2682926829268293,0.04878048780487805,15.878048780487806,8.0,18.329205004515636,0.0,72.0,medium,semi_sparse
13I,BKLM001KHAR,41.0,6.0,0.14634146341463414,0.14634146341463414,0.0975609756097561,13.170731707317072,6.0,15.992033077480158,0.0,57.0,medium,dense
