cabang,sku,n_months,nonzero_months,total_qty,qty_12m,qty_6m,has_may24,zero_ratio_train,n_train,last_nz,months_since_last_nz,alive_recent,eligible_model
23A,BGHI001K022,34,15,68.0,27.0,12.0,False,0.5588235294117647,34.0,2023-12-01,5,0,0
23A,BGHI001K101,38,14,84.0,24.0,18.0,False,0.631578947368421,38.0,2024-02-01,3,1,0
23A,BHIJ001K10,1,1,3.0,3.0,3.0,False,0.0,1.0,2024-03-01,2,1,0
23A,BHIJ001K12,6,3,23.0,23.0,23.0,False,0.5,6.0,2024-03-01,2,1,0
23A,BHIJ001K14,4,2,12.0,12.0,12.0,False,0.5,4.0,2024-01-01,4,0,0
23A,BHIJ001K31,1,1,6.0,6.0,6.0,False,0.0,1.0,2023-10-01,7,0,0
23A,BHIJ001K40,1,1,3.0,3.0,3.0,False,0.0,1.0,2024-03-01,2,1,0
23A,BHIJ001K46,1,1,3.0,3.0,3.0,False,0.0,1.0,2024-03-01,2,1,0
23A,BHIJ001K69,5,2,5.0,5.0,5.0,False,0.6,5.0,2024-03-01,2,1,0
23A,BHIJ001K73,1,1,3.0,3.0,3.0,False,0.0,1.0,2024-01-01,4,0,0
23A,BHIJ001K75,1,1,12.0,12.0,12.0,False,0.0,1.0,2023-10-01,7,0,0
23A,BHIJ001K91,6,3,8.0,8.0,8.0,False,0.5,6.0,2024-03-01,2,1,0
23A,BHIJ001KSB,5,4,97.0,97.0,97.0,False,0.2,5.0,2024-02-01,3,1,0
23A,BHIJ001KSW,6,4,66.0,66.0,66.0,False,0.3333333333333333,6.0,2024-03-01,2,1,0
